;University;Restaurant;Home;Transportation;Network 3G;Early Morning;Morning;Afternoon;Evening;Weekend;Smartphone Iphone
Agenda;1;0;4;1;7;0;1;0;1;1;1
Alarme;0;0;5;0;0;0;0;0;5;0;5
App Store;1;0;0;0;1;0;1;0;0;0;1
Appareil photo;0;0;1;0;0;0;0;0;1;10;10
Calculatrice;2;0;0;0;0;0;1;1;0;0;2
Emoji Art;0;0;4;0;0;0;0;0;4;0;4
Facebook;40;2;3;5;60;0;40;20;0;0;60
Gmail;40;2;3;5;60;0;40;20;0;0;60
Mes fichiers;1;0;0;1;0;0;1;1;0;0;2
Meteo;2;0;2;0;4;0;2;2;0;0;4
Musique;0;0;0;4;0;0;1;0;0;3;4
Parametres;1;0;0;0;0;0;0;1;0;0;1
Quran;0;0;2;0;2;2;0;0;0;0;2
Runtastic;0;0;0;0;0;0;1;0;0;0;1
Safari;40;0;0;10;70;0;30;40;0;0;70
SMS;5;0;2;3;0;0;3;7;0;0;10
Viber;0;0;2;0;2;0;0;0;2;0;2
WhatsApp;30;0;35;15;80;0;10;35;35;0;80
YouTube;5;0;0;0;7;0;0;7;0;0;7
