;University;Train station;Restaurant;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Memory 16G
Actualites;5;0;0;7;7;7;7;1;0;1;0;2;2;0;2;1
AlloCine;1;0;0;2;0;1;1;0;2;0;0;0;0;0;1;1
Appareil photo;5;1;1;0;0;0;0;0;5;1;0;2;0;0;1;1
Calculatrice;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Calendrier;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
Google;5;7;0;7;7;7;7;0;7;0;0;5;7;1;2;1
Facebook;5;0;1;7;7;7;7;1;5;3;0;7;7;1;2;1
Flappy Bird;3;0;0;3;1;3;3;0;2;2;0;0;3;0;2;1
Freebox Mobile;5;0;0;2;0;2;5;0;0;0;0;0;0;0;1;1
Gmail;5;7;1;7;7;7;7;5;5;5;1;7;7;1;2;1
Google Play Store;5;0;1;7;0;7;7;1;5;3;1;4;7;0;2;1
Instagram;5;0;1;7;1;7;7;2;5;5;1;7;7;1;2;1
Lecteur video;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
Mes fichiers;5;0;0;7;7;0;0;0;2;0;0;2;0;0;1;1
Meteo;5;0;0;7;7;7;7;1;0;1;0;2;2;0;2;1
Notes;5;0;0;7;2;0;0;0;1;0;0;1;3;0;1;1
Parametres;5;0;0;7;7;0;0;0;5;0;0;2;2;0;2;1
Ratp;0;0;0;7;2;7;7;2;0;0;0;1;1;0;1;1
SMS;5;6;1;7;2;0;0;0;5;1;1;7;3;0;2;1
SnapChat;5;0;1;3;0;3;5;0;4;2;1;5;3;0;1;1
WeChat;5;0;0;7;2;7;7;0;2;0;0;3;7;0;1;1
YouTube;0;0;0;3;0;3;0;0;0;0;0;3;3;0;1;1
