;C2;C3;C4;C6;C7;C8
N1;0; 0; 0; 1; 0; 0; 
N6;0; 0; 1; 0; 0; 0; 
N11;0; 1; 1; 1; 0; 1; 
N27;0; 0; 0; 0; 1; 0; 
N52;1; 0; 0; 1; 0; 0; 
