;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11
N1;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
N2;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N3;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N4;0; 1; 1; 0; 0; 1; 0; 1; 0; 1; 0; 
N5;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N6;0; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 
N7;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N8;1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
N9;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
N10;1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
N11;1; 1; 0; 0; 1; 0; 1; 0; 0; 1; 1; 
N12;1; 1; 1; 1; 0; 0; 1; 1; 0; 0; 1; 
N13;0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 
N14;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
N15;0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 0; 
N16;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
N17;1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 
N18;1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 
N19;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N20;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N21;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N22;0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
N23;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
N24;1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
N25;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
N26;1; 0; 0; 0; 1; 1; 0; 1; 1; 1; 1; 
N27;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
N28;1; 0; 0; 0; 0; 1; 1; 1; 0; 1; 0; 
N29;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N30;1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 
N31;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
N32;1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 
N33;0; 0; 1; 1; 0; 1; 0; 0; 1; 0; 1; 
N34;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
N35;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
N36;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N37;0; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 
N38;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N39;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
N40;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N41;0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
N42;0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 
N43;0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
N44;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
