;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11
N1;0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
N2;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N3;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N4;0; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 
N5;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N6;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
N7;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N8;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
N9;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N10;0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 
N11;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
N12;0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 
N13;0; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 
N14;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N15;0; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 
N16;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
N17;0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
N18;0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 
N19;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N20;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N21;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N22;0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
N23;0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 
N24;0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
N25;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N26;0; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 
N27;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
N28;0; 1; 0; 1; 1; 0; 0; 0; 1; 0; 1; 
N29;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N30;0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 
N31;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
N32;0; 1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 
N33;0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 0; 
N34;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
N35;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N36;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N37;0; 1; 1; 0; 0; 0; 1; 1; 0; 1; 0; 
N38;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N39;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N40;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N41;1; 0; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
N42;1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 
N43;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
N44;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
