;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Memory 16G
Alarme;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 
Appareil photo;0; 0; 1; 0; 0; 1; 1; 1; 1; 0; 0; 1; 0; 0; 
BNP PARIBAS;0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
Google;0; 0; 1; 0; 0; 1; 0; 1; 1; 1; 0; 0; 0; 1; 
E-mail;0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 
Facebook;0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 1; 
Maps;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Notes;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Skype;1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 
SMS;0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 
SnapChat;0; 0; 1; 0; 0; 1; 0; 1; 1; 0; 0; 1; 0; 1; 
Spotify;0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 0; 1; 
Telephone;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
Twitter;0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 1; 
YouTube;1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 
