;University;Home;Restaurant;Transportation;Morning;Lunch break;Afternoon;Evening;Night;Weekend
ABC Transport;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 
Alarme;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 
Bing Spoort;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
E-mail;0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 
Facebook;0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Lequipe;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Meteo;0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
Musique;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Parametres;0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
Shazam;0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
SMS;0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 
Telephone;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Twitter;0; 0; 0; 0; 1; 0; 0; 1; 0; 1; 
Windows store;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
