;University;Home;Transportation;Network 3G;Early Morning;Morning;Afternoon;Evening;Weekend;Smartphone Iphone
Agenda;1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 
Alarme;0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 
App Store;1; 0; 0; 1; 0; 1; 0; 0; 0; 1; 
Appareil photo;0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 
Calculatrice;1; 0; 0; 0; 0; 1; 1; 0; 0; 1; 
Emoji Art;0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 
Facebook;1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
Gmail;1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
Mes fichiers;1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 
Meteo;1; 1; 0; 0; 0; 1; 1; 0; 0; 0; 
Musique;0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 
Parametres;1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Quran;0; 1; 0; 1; 1; 0; 0; 0; 0; 1; 
Runtastic;0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
Safari;1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
SMS;1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 
Viber;0; 1; 0; 1; 0; 0; 0; 1; 0; 1; 
WhatsApp;1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 
YouTube;0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 
