;University;Restaurant;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Memory 16G;Smartphone Samsung
Agenda;0; 1; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
Alarme;1; 1; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 1; 0; 0; 0; 
Appareil photo;0; 1; 0; 1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 0; 0; 0; 
Drive;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
Gestion de taches;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Gmail;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
Maps;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 
Mes fichiers;0; 1; 0; 1; 0; 0; 1; 0; 1; 0; 1; 0; 1; 1; 0; 0; 
SMS;0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Telephone;0; 1; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 1; 0; 0; 0; 
