;University;Home;Transportation;Home Wifi;Network 3G;Morning;Afternoon;Evening;Weekend
App Store;0; 1; 0; 0; 0; 0; 0; 0; 0; 
Calculatrice;1; 0; 0; 0; 0; 0; 1; 0; 0; 
Calendrier;1; 0; 0; 0; 0; 0; 1; 0; 0; 
Dans ton chat;0; 1; 0; 0; 0; 1; 0; 0; 0; 
Documents;0; 1; 0; 0; 0; 0; 0; 1; 0; 
Eurosport;0; 1; 0; 1; 1; 1; 0; 0; 0; 
Facebook;0; 1; 0; 1; 0; 0; 0; 1; 0; 
Flappy Bird;1; 0; 0; 0; 0; 1; 0; 0; 0; 
Gmail;1; 1; 0; 1; 1; 1; 0; 1; 0; 
Google;0; 1; 0; 1; 0; 0; 0; 0; 1; 
Instagram;1; 0; 0; 0; 1; 1; 0; 0; 0; 
iTranslate;0; 1; 0; 0; 1; 0; 0; 1; 0; 
JeuxVideo.com;0; 1; 0; 0; 1; 1; 0; 0; 0; 
Musique;0; 1; 1; 0; 0; 0; 0; 1; 0; 
NBA 2K14;0; 1; 0; 0; 0; 0; 0; 1; 0; 
Ratp;0; 1; 0; 0; 1; 1; 0; 0; 0; 
SMS;1; 1; 0; 0; 0; 0; 1; 1; 1; 
SnapChat;1; 0; 0; 1; 1; 1; 0; 0; 0; 
So Foot;0; 1; 0; 0; 1; 1; 0; 0; 0; 
Telephone;0; 1; 0; 0; 0; 0; 0; 1; 1; 
Transdev IDF;0; 0; 0; 0; 1; 0; 0; 0; 0; 
Tumblr;0; 1; 0; 1; 0; 0; 0; 1; 1; 
Twitter;1; 1; 0; 0; 1; 0; 1; 0; 1; 
YouTube;0; 1; 0; 0; 0; 0; 0; 1; 0; 
