;University;Train station;Home;Transportation;Home Wifi;Early Morning;Morning;Afternoon;Evening;Weekend;Smartphone Iphone
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Calculatrice;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
E-mail;0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 
Facebook;0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
Gestion de taches;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Leboncoin;0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 
Maps;1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
Mes fichiers;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Mise a jour logicielle;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
netBeans;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
nike;0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 
pap.fr;0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 
Skype;0; 0; 1; 0; 0; 0; 1; 1; 1; 0; 0; 
SMS;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 
Telephone;0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 0; 
World;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 
YouTube;0; 0; 1; 0; 1; 0; 0; 0; 1; 1; 1; 
