;University;Restaurant;Transportation;Network 3G;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend
9GAG;0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 
Appareil photo;0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
Facebook;0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 
Gmail;0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 
Mes fichiers;0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
Parametres;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
SMS;0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 
Telephone;0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 
Tumblr;0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 
YouTube;1; 0; 0; 1; 1; 0; 0; 1; 0; 0; 
