;University;Restaurant;Home;Transportation;Network 3G;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Tablet;Memory 16G
9GAG;0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 1; 0; 
Appareil photo;0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 
Facebook;0; 0; 0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 0; 
Gmail;0; 0; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 0; 0; 
Mes fichiers;1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 
Parametres;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
SMS;1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
Telephone;1; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 
Tumblr;0; 0; 0; 1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 
YouTube;1; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 1; 
