;University;Train station;Restaurant;Home;Transportation;Home Wifi;Network 3G;Univ Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend
Agenda;0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
Alarme;1; 1; 1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
AlloCine;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Calculatrice;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Google;0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
Drive;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
E-mail;0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Facebook;1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
Gmail;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Mes fichiers;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Musique;1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 
Notes;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Photoshop;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
Skype;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
SMS;0; 0; 1; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
Telephone;0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 1; 1; 0; 
Word;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
YouTube;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
