;University;Train station;Home;Transportation;Network 3G;Early Morning;Morning;Afternoon;Evening;Weekend;Smartphone Samsung;Memory 32G
20minute-android;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 
9GAG;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Alarme;0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
Echec;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 
Facebook;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Flappy Bird;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Google;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Mes fichiers;0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
Meteo;0; 0; 1; 0; 1; 0; 1; 0; 0; 0; 1; 1; 
SMS;1; 0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 
Sudoku;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 
Telephone;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Tinder;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
