;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
Candy Crush;0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
Dropbox;1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 
Facebook;0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 1; 
Facebook messenger;1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 
Gmail;0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 1; 0; 0; 
Instagram;1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 
Google;1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 0; 
LizLisa;0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 
Tumblr;1; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
Wordpress;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 
