;University;Train station;Cinema;Restaurant;Home;Library;Home Wifi;Univ Wifi;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend;Smartphone Iphone
Appareil photo;0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Calculatrice;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
E-mail;1; 0; 1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
Facebook;1; 0; 1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
Gestion de taches;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Leboncoin;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Maps;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 0; 
Mes fichiers;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Mise a jour logicielle;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
netBeans;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 
nike;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
pap.fr;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Skype;1; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 
SMS;0; 0; 1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Telephone;1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
World;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
YouTube;0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
