;University;Cinema;Home;Transportation;Home Wifi;Network 3G;Morning;Evening;Weekend
AlloCine;0; 1; 0; 0; 0; 0; 0; 0; 0; 
Appareil photo;0; 0; 1; 0; 0; 0; 0; 0; 1; 
BBM;0; 0; 0; 0; 0; 0; 0; 1; 0; 
E-mail;1; 0; 0; 0; 0; 0; 1; 0; 1; 
Facebook;0; 0; 0; 0; 1; 0; 0; 0; 0; 
Flappy Bird;1; 0; 0; 0; 0; 0; 1; 0; 0; 
Instagram;0; 0; 0; 0; 0; 0; 0; 1; 0; 
Photos;1; 0; 0; 1; 0; 0; 1; 0; 0; 
SMS;0; 0; 1; 0; 0; 0; 0; 1; 1; 
SnapChat;1; 0; 0; 0; 0; 0; 1; 1; 1; 
Telephone;0; 0; 1; 0; 0; 0; 0; 1; 0; 
Twitter;1; 0; 0; 0; 1; 0; 0; 1; 0; 
WhatsApp;0; 0; 1; 0; 0; 1; 0; 1; 0; 
