;University;Cinema;Home;Transportation;Network 3G;Early Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend
AlloCine;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
BBM;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
E-mail;0; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 
Flappy Bird;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Instagram;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Photos;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
SnapChat;0; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 
Telephone;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Twitter;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
WhatsApp;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
