;Train station;Cinema;Restaurant;Home;Library;Univ Wifi;Morning;Afternoon;Weekend;Smartphone Iphone
Appareil photo;0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
Calculatrice;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
E-mail;0; 1; 1; 0; 1; 0; 0; 0; 1; 0; 
Facebook;0; 1; 1; 0; 1; 0; 0; 0; 1; 0; 
Leboncoin;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
netBeans;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
nike;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
pap.fr;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Skype;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 
Telephone;0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 
World;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 
YouTube;0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 
