;University;Home;Restaurant;Transportation;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone NokiaLumia
ABC Transport;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 
Alarme;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
AlloCine;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Bing Spoort;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
E-mail;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Lequipe;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Musique;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Parametres;0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
SMS;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Telephone;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Windows store;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
