;University;Home;Transportation;Home Wifi;Network 3G;Morning;Afternoon;Evening;Weekend
Appareil photo;1; 1; 0; 0; 0; 0; 0; 0; 1; 
BNP PARIBAS;0; 0; 0; 0; 0; 0; 0; 0; 1; 
Google;1; 1; 0; 0; 1; 1; 0; 0; 0; 
E-mail;0; 1; 0; 0; 1; 1; 1; 0; 1; 
Facebook;0; 0; 0; 0; 1; 0; 0; 1; 1; 
Maps;0; 0; 1; 0; 1; 0; 0; 0; 0; 
Notes;1; 0; 0; 0; 1; 0; 0; 0; 0; 
Skype;0; 0; 0; 0; 0; 0; 0; 0; 1; 
SMS;0; 1; 0; 0; 0; 0; 0; 1; 1; 
SnapChat;1; 0; 0; 1; 0; 0; 0; 1; 1; 
Spotify;1; 0; 1; 0; 1; 0; 0; 1; 0; 
Telephone;0; 1; 0; 0; 0; 0; 0; 1; 0; 
Twitter;0; 1; 0; 0; 0; 0; 0; 0; 1; 
YouTube;0; 0; 0; 0; 0; 0; 0; 1; 1; 
