;University;Train station;Cinema;Restaurant;Home;Transportation;Library;Univ Wifi;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend
AlloCine;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Appareil photo;0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Calculatrice;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
E-mail;0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
Facebook;1; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
Gestion de taches;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Leboncoin;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Maps;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Mes fichiers;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Mise a jour logicielle;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
netBeans;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 
nike;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
pap.fr;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Skype;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
SMS;0; 0; 1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 
Telephone;1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
World;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
YouTube;0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 0; 0; 
