;University;Train station;Home;Transportation;Library;Home Wifi;Network 3G;Public Wifi;Univ Wifi
Agenda;1; 0; 1; 0; 0; 0; 0; 0; 0; 
Alarme;0; 0; 1; 0; 0; 0; 0; 0; 0; 
Appareil photo;1; 0; 0; 1; 0; 0; 0; 0; 0; 
Calculatrice;1; 0; 1; 0; 0; 0; 0; 0; 0; 
Google;1; 0; 1; 0; 0; 1; 0; 0; 1; 
Drive;1; 0; 1; 0; 0; 1; 0; 0; 1; 
E-mail;1; 1; 1; 1; 1; 1; 1; 1; 1; 
Facebook;1; 0; 1; 0; 0; 0; 0; 0; 0; 
Gmail;1; 0; 1; 0; 0; 1; 1; 1; 1; 
Google Play Store;1; 1; 1; 1; 1; 1; 1; 1; 1; 
Maps;1; 1; 1; 1; 1; 1; 1; 1; 1; 
Parametres;1; 1; 1; 1; 1; 1; 1; 1; 1; 
Skype;0; 0; 1; 0; 0; 1; 0; 0; 0; 
SMS;0; 0; 1; 0; 0; 1; 1; 1; 1; 
