;University;Cinema;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
Alarme;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
AlloCine;0; 0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
Appareil photo;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 
BBM;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
BNP PARIBAS;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Calculatrice;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
E-mail;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 
Facebook;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
Flappy Bird;0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 
Instagram;0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
Maps;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
Parametres;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
Photos;0; 1; 0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
SMS;0; 1; 0; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
SnapChat;0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 0; 
Telephone;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 
Twitter;0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
WhatsApp;0; 1; 0; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 
YouTube;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
