;University;Home;Restaurant;Transportation;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone NokiaLumia
ABC Transport;0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 0; 
Alarme;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 
AlloCine;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Bing Spoort;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
E-mail;1; 0; 0; 0; 1; 1; 0; 1; 0; 1; 0; 
Facebook;1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
Lequipe;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Meteo;1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 0; 
Musique;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Parametres;0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
SMS;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 
Telephone;1; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 
Twitter;0; 1; 0; 1; 1; 0; 0; 1; 0; 1; 0; 
Windows store;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
