;University;Train station;Restaurant;Home;Library;Morning;Afternoon;Weekend
Appareil photo;0; 0; 1; 1; 0; 0; 0; 0; 
Gestion de taches;1; 0; 0; 0; 0; 0; 0; 0; 
Leboncoin;0; 0; 0; 0; 0; 0; 0; 1; 
Maps;0; 1; 0; 0; 0; 0; 0; 0; 
Mes fichiers;0; 0; 0; 0; 0; 0; 1; 0; 
Mise a jour logicielle;1; 0; 0; 0; 0; 0; 0; 0; 
netBeans;0; 0; 0; 0; 0; 1; 0; 0; 
nike;0; 0; 0; 0; 0; 0; 0; 1; 
pap.fr;0; 0; 0; 0; 0; 0; 0; 1; 
Skype;0; 0; 0; 0; 1; 0; 0; 1; 
World;0; 0; 0; 0; 0; 0; 0; 1; 
YouTube;0; 0; 0; 0; 1; 0; 1; 0; 
