;University;Train station;Cinema;Restaurant;Home;Transportation;Street;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung;Memory 64G
4 images 1 mot;1;0;0;0;3;0;0;0;4;0;0;0;0;2;2;0;0;4;0
Alarme;0;0;0;0;8;0;0;0;0;7;1;0;0;0;0;0;0;8;0
AlloCine;0;0;1;1;0;1;0;0;3;0;0;0;0;1;2;0;2;0;0
Appareil photo;0;0;0;0;3;0;1;0;0;0;0;0;0;0;4;0;4;4;4
Calculatrice;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Earth;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Facebook;30;11;1;0;44;3;0;5;84;7;11;7;7;22;30;5;14;89;0
Flappy Bird;5;2;0;0;5;5;0;0;0;0;8;0;3;4;2;0;1;17;0
Gmail;11;0;1;1;15;0;4;0;32;0;0;0;0;0;0;0;0;32;0
Google;20;0;0;0;35;0;5;5;55;5;5;5;15;10;20;0;20;60;0
Google Play Store;3;0;0;0;9;0;0;0;12;0;0;0;0;2;10;0;4;12;12
Instagram;30;0;0;0;50;0;0;0;80;7;15;0;10;15;33;0;20;80;0
Lecteur video;4;0;0;0;10;0;0;2;12;0;0;0;0;4;8;0;5;12;0
LINE;5;0;0;0;10;0;0;2;13;0;2;0;2;11;0;0;4;15;0
Maps;1;0;0;0;0;0;2;0;2;0;1;0;0;0;2;0;0;3;0
Mes fichiers;0;3;0;0;11;5;3;0;0;0;8;0;5;2;5;2;2;22;0
Meteo;2;0;0;0;5;0;0;0;0;3;1;0;3;0;0;0;2;7;0
Mise a jour logicielle;1;0;0;0;2;0;0;1;2;0;0;0;0;0;0;0;0;3;3
Musique;0;0;0;0;10;20;5;0;0;0;10;0;0;13;12;0;0;35;0
Navigation;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0
Parametres;16;0;0;0;0;0;0;0;16;0;12;0;0;4;0;0;0;16;0
Photos;5;0;0;1;10;2;1;0;0;0;5;0;5;5;4;0;8;19;0
Ratp;0;0;0;0;4;4;0;0;8;0;4;0;0;2;2;0;2;0;0
Shazam;0;0;0;1;4;0;0;0;5;0;0;0;0;1;4;0;2;5;0
SMS;150;50;0;0;100;50;25;0;0;0;75;0;25;100;175;0;100;375;0
SnapChat;15;5;0;10;10;5;20;0;65;0;0;0;0;0;0;0;0;65;0
Telephone;7;8;0;0;6;0;9;0;0;0;0;6;4;8;12;0;7;0;0
Translate;5;0;0;0;20;0;0;0;25;0;5;0;2;13;5;0;0;0;0
Twitter;11;0;0;0;20;0;0;0;31;0;7;0;0;10;14;0;8;31;0
WeChat;20;0;0;0;20;5;5;0;50;0;10;0;10;20;10;0;0;50;0
WhatsApp;5;0;0;0;15;0;0;0;20;0;2;0;0;14;4;0;4;0;0
Wifi Analyzer;0;0;0;2;1;0;0;0;0;0;0;0;0;1;2;0;2;0;0
YouTube;0;0;0;0;5;0;0;2;3;0;0;0;0;1;4;0;0;5;0
