;University;Train station;Home;Transportation;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
Agenda;0;0;1;0;0;0;0;0;0;1;0;0
Calculatrice;0;0;13;0;0;0;0;0;0;13;0;0
Eurosport;6;0;0;5;2;0;6;0;3;4;0;0
Facebook;18;0;7;3;0;6;4;8;3;5;0;2
Flappy Bird;37;0;5;8;0;9;7;13;8;3;2;0
Gmail;3;0;0;0;0;0;0;3;0;0;0;0
Google;27;0;22;4;0;11;3;7;14;13;1;5
Google Play Store;1;0;5;0;0;1;0;0;0;0;5;0
LINE;5;0;3;2;0;0;0;2;5;2;1;0
Puzzle&Dragons;31;0;65;3;0;3;5;11;7;31;8;21
SMS;0;1;6;0;0;0;0;1;0;6;0;0
Sotchi 2014;18;0;12;8;0;8;5;12;9;4;0;0
Twitter;20;0;77;7;2;9;11;9;12;13;7;21
