;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Memory 16G
Alarme;0;2;0;0;0;0;1;0;0;0;0;1;0;1
Appareil photo;1;2;0;2;6;0;0;0;0;1;2;0;5;3
BNP PARIBAS;1;0;0;0;3;0;0;0;1;0;0;0;2;0
Google;2;2;0;7;2;0;2;0;0;0;1;1;5;0
E-mail;5;2;0;7;5;0;2;0;1;2;1;1;5;0
Facebook;3;3;0;8;3;0;1;0;1;1;3;0;5;0
Maps;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Notes;2;0;0;0;2;0;0;0;0;0;0;0;0;0
Skype;0;3;0;6;0;0;0;0;0;1;1;1;3;0
SMS;15;10;0;0;55;0;5;2;5;3;10;0;30;0
SnapChat;2;3;0;3;4;0;1;0;0;1;3;0;2;0
Spotify;2;3;1;8;3;0;1;0;1;0;2;1;5;0
Telephone;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Twitter;3;1;0;3;3;1;1;0;1;0;1;0;2;0
YouTube;0;10;0;20;0;0;0;0;0;3;5;2;10;0
