;University;Home;Transportation;Home Wifi;Network 3G;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung;Tablet
Alarme;0;7;0;0;0;7;0;0;0;0;0;2;7;0
Appareil photo;0;2;0;0;0;0;0;0;0;2;0;1;2;0
Calculatrice;2;0;0;0;0;1;0;0;0;0;0;0;0;0
Candy Crush;2;2;4;2;4;1;1;0;2;0;0;1;4;0
E-mail;5;7;5;7;5;1;1;2;1;3;0;2;7;0
Facebook;5;7;5;7;5;1;1;1;2;4;0;2;7;0
Firefox;4;6;1;6;5;0;0;0;2;2;0;2;6;0
Flappy Bird;3;4;3;0;0;0;2;1;2;1;0;2;4;1
Flipboard;5;7;5;7;5;1;1;1;2;2;0;2;7;1
Gestion de taches;5;7;5;0;0;1;1;1;1;1;0;2;7;0
Gmail;5;7;5;7;5;2;1;1;2;3;0;2;7;0
Google Now;3;5;1;5;4;1;0;0;1;1;0;1;5;0
Google Play Store;4;4;0;0;0;0;0;1;1;2;0;1;4;0
HFR4droid;1;7;2;7;3;0;1;0;2;4;0;2;7;0
JeuxVideo.com;0;7;1;7;1;0;0;0;3;4;0;2;7;0
Maps;2;3;0;3;2;0;0;0;2;1;0;1;3;0
Mes fichiers;3;3;0;0;0;0;0;0;0;0;0;0;3;0
Meteo;1;3;0;0;0;0;0;0;0;0;0;2;3;0
My Boy Free;1;1;0;0;0;0;0;1;0;1;0;0;1;0
News Republic;5;7;5;7;5;1;1;1;2;2;0;2;7;2
Parametres;3;2;0;0;0;0;0;0;1;1;0;0;2;4
Safari;0;4;0;0;0;0;0;0;2;2;0;0;0;4
Shazam;0;2;0;2;0;0;0;1;1;0;0;1;2;0
Skype;0;3;0;3;0;0;0;0;2;3;0;1;3;0
SMS;3;4;2;0;0;0;1;2;2;2;0;2;6;0
Telephone;1;5;0;0;0;0;0;1;0;4;0;0;5;0
Waze;0;1;0;1;0;0;0;0;1;0;0;1;1;0
WeChat;1;7;3;7;3;2;0;0;3;4;0;2;7;0
YouTube;3;6;0;6;3;0;0;0;3;5;0;2;7;2
